"No.","Time","Source","Destination","Protocol","Length","HID Data","Info"
"7","21.459850","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"9","21.635869","1.1.1","host","USB","35","0200050000000000","URB_INTERRUPT in"
"11","21.699878","1.1.1","host","USB","35","0000050000000000","URB_INTERRUPT in"
"13","21.707884","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"15","21.851888","1.1.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"17","21.915894","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"19","22.035916","1.1.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"21","22.091918","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"23","22.155923","1.1.1","host","USB","35","00000a0000000000","URB_INTERRUPT in"
"25","22.211925","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"27","22.515957","1.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"29","22.603968","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"31","22.667973","1.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"33","22.747983","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"35","22.771984","1.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"37","22.859999","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"39","22.907998","1.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"41","22.948003","1.1.1","host","USB","35","0000171500000000","URB_INTERRUPT in"
"43","22.988018","1.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"45","23.052018","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"47","23.092029","1.1.1","host","USB","35","00001c0000000000","URB_INTERRUPT in"
"49","23.148031","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"51","23.180028","1.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"53","23.284046","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"55","23.612091","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"57","24.124148","1.1.1","host","USB","35","0200200000000000","URB_INTERRUPT in"
"59","24.172143","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"61","24.204144","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"63","24.964226","1.1.1","host","USB","35","00001f0000000000","URB_INTERRUPT in"
"65","25.028241","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"67","25.100238","1.1.1","host","USB","35","00001e0000000000","URB_INTERRUPT in"
"69","25.196243","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"71","25.748301","1.1.1","host","USB","35","0000230000000000","URB_INTERRUPT in"
"73","25.804317","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"75","27.324485","1.1.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"77","27.396476","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"79","27.492487","1.1.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"81","27.572494","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"83","28.852647","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"85","29.052660","1.1.1","host","USB","35","0200170000000000","URB_INTERRUPT in"
"87","29.092663","1.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"89","29.116667","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"91","29.404699","1.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"93","29.460710","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"95","29.724733","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"97","29.804741","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"99","29.892759","1.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"101","29.964758","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"103","30.044764","1.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"105","30.116782","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"107","30.212780","1.1.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"109","30.292803","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"111","30.324803","1.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"113","30.372799","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"115","30.556827","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"117","30.692828","1.1.1","host","USB","35","0200330000000000","URB_INTERRUPT in"
"119","30.812840","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"121","30.908850","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"123","30.924850","1.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"125","31.036864","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"127","31.620927","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"129","31.692931","1.1.1","host","USB","35","0200170000000000","URB_INTERRUPT in"
"131","31.756941","1.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"133","31.772940","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"135","31.820955","1.1.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"137","31.884960","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"139","31.916960","1.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"141","31.972969","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"143","32.020983","1.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"145","32.108990","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"147","32.116980","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"149","32.197001","1.1.1","host","USB","35","0200160000000000","URB_INTERRUPT in"
"151","32.269012","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"153","32.276998","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"155","32.381014","1.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"157","32.469033","1.1.1","host","USB","35","0000171500000000","URB_INTERRUPT in"
"159","32.509035","1.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"161","32.565032","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"163","32.853073","1.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"165","32.949070","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"167","33.133087","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"169","33.221106","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"171","33.269100","1.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"173","33.373112","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"175","33.973175","1.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"177","34.053188","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"179","34.117204","1.1.1","host","USB","35","00000a0000000000","URB_INTERRUPT in"
"181","34.197215","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"183","34.285223","1.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"185","34.373232","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"187","34.461235","1.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"189","34.541252","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"191","34.597248","1.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"193","34.637263","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"195","34.669261","1.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"197","34.757274","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"199","34.837280","1.1.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"201","34.909283","1.1.1","host","USB","35","0000072c00000000","URB_INTERRUPT in"
"203","34.917282","1.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"205","35.013301","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"207","35.133306","1.1.1","host","USB","35","0000180000000000","URB_INTERRUPT in"
"209","35.221324","1.1.1","host","USB","35","0000181100000000","URB_INTERRUPT in"
"211","35.269323","1.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"213","35.293321","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"215","35.317325","1.1.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"217","35.421337","1.1.1","host","USB","35","0000160800000000","URB_INTERRUPT in"
"219","35.453348","1.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"221","35.509343","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"223","35.557351","1.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"225","35.613366","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"227","35.717376","1.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"229","35.765381","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"231","35.789372","1.1.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"233","35.893386","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"235","36.013412","1.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"237","36.077407","1.1.1","host","USB","35","00000c1100000000","URB_INTERRUPT in"
"239","36.125422","1.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"241","36.149409","1.1.1","host","USB","35","0000110a00000000","URB_INTERRUPT in"
"243","36.157409","1.1.1","host","USB","35","00000a0000000000","URB_INTERRUPT in"
"245","36.221414","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"247","36.269419","1.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"249","36.341429","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"251","36.405432","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"253","36.477443","1.1.1","host","USB","35","0200150000000000","URB_INTERRUPT in"
"255","36.541449","1.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"257","36.549454","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"259","36.613462","1.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"261","36.693466","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"263","36.821480","1.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"265","36.909490","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"267","36.973495","1.1.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"269","37.037510","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"271","37.165517","1.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"273","37.221524","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"275","37.237524","1.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"277","37.325538","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"279","37.437562","1.1.1","host","USB","35","00001c0000000000","URB_INTERRUPT in"
"281","37.501564","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"283","37.509560","1.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"285","37.589579","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"287","37.701579","1.1.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"289","37.781589","1.1.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"291","37.861605","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"293","37.901598","1.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"295","37.981609","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"297","38.133625","1.1.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"299","38.197641","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"301","38.493663","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"303","38.549664","1.1.1","host","USB","35","02002a0000000000","URB_INTERRUPT in"
"305","38.565671","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"307","38.605678","1.1.1","host","USB","35","0200070000000000","URB_INTERRUPT in"
"309","38.685678","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"311","38.709680","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"313","38.837692","1.1.1","host","USB","35","0000180000000000","URB_INTERRUPT in"
"315","38.949704","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"317","38.973711","1.1.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"319","39.053726","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"321","39.117724","1.1.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"323","39.197734","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"325","39.213732","1.1.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"327","39.269742","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"329","40.133838","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"331","40.181843","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"333","40.285850","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"335","40.349861","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"337","40.957934","1.1.1","host","USB","35","00000e0000000000","URB_INTERRUPT in"
"339","41.005934","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"341","41.413974","1.1.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"343","41.461990","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"345","41.814009","1.1.1","host","USB","35","0000340000000000","URB_INTERRUPT in"
"347","41.894017","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"349","42.142044","1.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"351","42.222054","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"353","42.302061","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"355","42.374072","1.1.1","host","USB","35","0200160000000000","URB_INTERRUPT in"
"357","42.462079","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"359","42.478083","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"361","42.662100","1.1.1","host","USB","35","0000130000000000","URB_INTERRUPT in"
"363","42.790126","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"365","43.158166","1.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"367","43.262183","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"369","43.390192","1.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"371","43.478205","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"373","43.598207","1.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"375","43.694225","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"377","43.750223","1.1.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"379","43.838243","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"381","44.174265","1.1.1","host","USB","35","00002d0000000000","URB_INTERRUPT in"
"383","44.254277","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"385","44.382283","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"387","44.542301","1.1.1","host","USB","35","0200160000000000","URB_INTERRUPT in"
"389","44.598305","1.1.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"391","44.638310","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"393","44.862334","1.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"395","44.958347","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"397","44.966343","1.1.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"399","45.038357","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"401","45.190382","1.1.1","host","USB","35","0000130000000000","URB_INTERRUPT in"
"403","45.294398","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"405","45.326401","1.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"407","45.406399","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"409","45.670425","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"411","45.718443","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"413","45.798439","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"415","45.846448","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"417","45.934458","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"419","45.982461","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"421","46.086471","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"423","46.142478","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"425","46.422508","1.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"427","46.486525","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
